word_id,sub_grid,label,colour_fill,subject_description,full_prompt
in_in-school,in_,In school,natural,"A child sitting at a school desk inside a classroom, with a chalkboard visible behind them, head and shoulders","A child sitting at a school desk inside a classroom, with a chalkboard visible behind them, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-class,in_,In class,natural,"A child in a classroom sitting at a desk with hand raised eagerly, with other desks visible in the background, head and shoulders","A child in a classroom sitting at a desk with hand raised eagerly, with other desks visible in the background, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-bath,in_,In bath,natural,"A child sitting happily in a bathtub with bubbles around them and a rubber duck toy floating beside, head and shoulders above water level, modest depiction","A child sitting happily in a bathtub with bubbles around them and a rubber duck toy floating beside, head and shoulders above water level, modest depiction, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-car,in_,In car,natural,"A child sitting in a car passenger seat with a seatbelt fastened across them, the car window visible beside them, head and shoulders","A child sitting in a car passenger seat with a seatbelt fastened across them, the car window visible beside them, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-house,in_,In house,natural,"A child standing inside a house room with a window and a picture on the wall visible behind them, indicating being indoors at home, head and shoulders","A child standing inside a house room with a window and a picture on the wall visible behind them, indicating being indoors at home, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-garden,in_,In garden,natural,"A child standing in a garden surrounded by colourful flowers and green grass with a sunny sky above, full body","A child standing in a garden surrounded by colourful flowers and green grass with a sunny sky above, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-kitchen,in_,In kitchen,natural,"A child standing in a kitchen with a stove and kitchen counter visible behind them, head and shoulders","A child standing in a kitchen with a stove and kitchen counter visible behind them, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-bedroom,in_,In bedroom,natural,"A child standing in a bedroom with a bed visible behind them and a lamp on a bedside table, head and shoulders, indicating being in their bedroom","A child standing in a bedroom with a bed visible behind them and a lamp on a bedside table, head and shoulders, indicating being in their bedroom, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-bathroom,in_,In bathroom,natural,"A child standing in a bathroom with a sink and mirror visible behind them, head and shoulders, indicating being in the bathroom","A child standing in a bathroom with a sink and mirror visible behind them, head and shoulders, indicating being in the bathroom, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-lounge,in_,In lounge,natural,"A child sitting comfortably on a sofa in a lounge room with a coffee table and a houseplant beside them, full body","A child sitting comfortably on a sofa in a lounge room with a coffee table and a houseplant beside them, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-pool,in_,In pool,natural,"A child standing in a swimming pool with the water at chest level, head clearly above the water, surrounded by blue pool water, head and shoulders","A child standing in a swimming pool with the water at chest level, head clearly above the water, surrounded by blue pool water, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-shop,in_,In shop,natural,"A child standing in a shop aisle holding a small shopping basket, with shelves of grocery items behind them, head and shoulders","A child standing in a shop aisle holding a small shopping basket, with shelves of grocery items behind them, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-hospital,in_,In hospital,natural,"A child in a hospital bed with a friendly nurse beside them, the hospital room is calm and clean (no scary medical elements), head and shoulders","A child in a hospital bed with a friendly nurse beside them, the hospital room is calm and clean (no scary medical elements), head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-therapy,in_,In therapy,natural,"A child sitting in a therapy room talking with a friendly therapist, both visible and engaged in a conversation, calm setting, head and shoulders","A child sitting in a therapy room talking with a friendly therapist, both visible and engaged in a conversation, calm setting, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-gym,in_,In gym,natural,"A child standing in a gym with sports equipment visible behind them (basketball hoop or exercise mat), head and shoulders","A child standing in a gym with sports equipment visible behind them (basketball hoop or exercise mat), head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-library,in_,In library,natural,"A child sitting in a library reading a book, with tall bookshelves full of books visible behind them, head and shoulders","A child sitting in a library reading a book, with tall bookshelves full of books visible behind them, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-office,in_,In office,natural,"A child sitting in an office room at a desk with a computer monitor visible, head and shoulders","A child sitting in an office room at a desk with a computer monitor visible, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-playground,in_,In playground,natural,"A child standing on playground equipment like a slide or climbing frame, with the playground in the background, full body","A child standing on playground equipment like a slide or climbing frame, with the playground in the background, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-hall,in_,In hall,natural,"A child standing in a large school hall with high ceilings and wooden floor visible, head and shoulders","A child standing in a large school hall with high ceilings and wooden floor visible, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-toilet,in_,In toilet,natural,"A child sitting on a toilet appropriately depicted (fully clothed, modest, no nudity), with the bathroom toilet visible, head and shoulders, in the context of using the toilet","A child sitting on a toilet appropriately depicted (fully clothed, modest, no nudity), with the bathroom toilet visible, head and shoulders, in the context of using the toilet, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-chair,in_,In chair,natural,"A child sitting upright IN a wooden chair with arms relaxed and feet on the ground, side view, full body, clearly seated inside the chair","A child sitting upright IN a wooden chair with arms relaxed and feet on the ground, side view, full body, clearly seated inside the chair, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-corner,in_,In corner,natural,"A child standing in the corner of a room facing the corner where two walls meet, the corner clearly visible, head and shoulders","A child standing in the corner of a room facing the corner where two walls meet, the corner clearly visible, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-box,in_,In box,natural,"A small red ball clearly resting inside an open cardboard box, viewed from a three-quarter angle so the ball is visibly inside the box","A small red ball clearly resting inside an open cardboard box, viewed from a three-quarter angle so the ball is visibly inside the box, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-bag,in_,In bag,natural,"A small toy clearly visible inside an open school backpack or tote bag, the bag opening is visible with the contents partially showing","A small toy clearly visible inside an open school backpack or tote bag, the bag opening is visible with the contents partially showing, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
