word_id,row,slot,label,colour_fill,subject_description,full_prompt
core_0,1,1,I / Me,natural,"A child pointing at themselves with one finger touching their chest, illustrated head and shoulders, friendly expression","A child pointing at themselves with one finger touching their chest, illustrated head and shoulders, friendly expression, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_1,1,2,You,natural,"A child pointing forward at the viewer with one extended index finger, illustrated head and shoulders, friendly expression","A child pointing forward at the viewer with one extended index finger, illustrated head and shoulders, friendly expression, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_2,1,3,Ask,vibrant,"A friendly child with one hand raised in the air asking a question, head and shoulders, alongside a small floating question mark","A friendly child with one hand raised in the air asking a question, head and shoulders, alongside a small floating question mark, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_3,1,4,We,natural,"A small group of three diverse children standing together side by side, head and shoulders, all smiling","A small group of three diverse children standing together side by side, head and shoulders, all smiling, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_4,1,5,Who,natural,"A simple child silhouette in profile with a single question mark floating beside the head, head and shoulders","A simple child silhouette in profile with a single question mark floating beside the head, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_5,1,6,What,vibrant,"A bold cartoon question mark, large and clearly visible, with a small dot underneath","A bold cartoon question mark, large and clearly visible, with a small dot underneath, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_6,2,7,Want,natural,"A child's open hand reaching out toward something desirable just out of frame, with eager body language, head and shoulders visible","A child's open hand reaching out toward something desirable just out of frame, with eager body language, head and shoulders visible, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_7,2,8,Go,natural,"A child running forward with gentle motion lines suggesting active movement, full body, side view","A child running forward with gentle motion lines suggesting active movement, full body, side view, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_8,2,9,Stop,vibrant,"A bold red octagonal stop sign held up by a small hand at the bottom, communicating halt","A bold red octagonal stop sign held up by a small hand at the bottom, communicating halt, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_9,2,10,Make / Do,natural,"Two cartoon hands constructing or assembling something — one hand holding a wooden block, the other placing another block on top, creative making gesture","Two cartoon hands constructing or assembling something — one hand holding a wooden block, the other placing another block on top, creative making gesture, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_10,2,11,Look,natural,"A pair of cartoon eyes wide open with an arrow pointing forward indicating direction of gaze, simple and iconic","A pair of cartoon eyes wide open with an arrow pointing forward indicating direction of gaze, simple and iconic, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_11,2,12,Like,natural,"A friendly cartoon thumbs-up gesture with a smiling face just above the hand, head and shoulders visible","A friendly cartoon thumbs-up gesture with a smiling face just above the hand, head and shoulders visible, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_12,3,13,In,natural,"A small red ball clearly inside an open cardboard box, viewed from a three-quarter angle so the ball is visibly resting inside","A small red ball clearly inside an open cardboard box, viewed from a three-quarter angle so the ball is visibly resting inside, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_13,3,14,Out,natural,"A small red ball sitting outside and just beside an open cardboard box, with an arrow showing the ball coming out of the box, viewed from a three-quarter angle","A small red ball sitting outside and just beside an open cardboard box, with an arrow showing the ball coming out of the box, viewed from a three-quarter angle, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_14,3,15,Up,vibrant,"A bold upward-pointing arrow with a small child figure reaching up beside it","A bold upward-pointing arrow with a small child figure reaching up beside it, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_15,3,16,Down,vibrant,"A bold downward-pointing arrow with a small child figure reaching down beside it","A bold downward-pointing arrow with a small child figure reaching down beside it, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
