word_id,sub_grid,label,colour_fill,subject_description,full_prompt
down_down-here,down_,Down here,vibrant,"A hand with ONE consistent uniform natural beige skin tone all over the entire hand (NO pink highlights, NO green highlights, NO purple, NO unnatural colours anywhere on the hand at all), index finger pointing downward toward a spot below the hand, isolated hand","A hand with ONE consistent uniform natural beige skin tone all over the entire hand (NO pink highlights, NO green highlights, NO purple, NO unnatural colours anywhere on the hand at all), index finger pointing downward toward a spot below the hand, isolated hand, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_down-low,down_,Down low,vibrant,"A clearly recognizable tall green tree with a brown trunk, with a bold horizontal arrow on the side of the tree pointing INWARD toward the very BOTTOM of the tree trunk near the ground level (where the trunk meets the grass), the arrow points to the LOW position on the tree, indicating 'down low'","A clearly recognizable tall green tree with a brown trunk, with a bold horizontal arrow on the side of the tree pointing INWARD toward the very BOTTOM of the tree trunk near the ground level (where the trunk meets the grass), the arrow points to the LOW position on the tree, indicating 'down low', children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_turn-down,down_,Turn down,vibrant,"A circular volume knob with a small triangular indicator pointing toward the LOW position (lower-left of the dial), with a curved arrow showing the knob being rotated COUNTER-CLOCKWISE (left-rotating motion DOWNWARD), and a DOWNWARD-POINTING arrow next to the dial confirming the down direction, with a natural-skin-tone hand fingers gripping the knob","A circular volume knob with a small triangular indicator pointing toward the LOW position (lower-left of the dial), with a curved arrow showing the knob being rotated COUNTER-CLOCKWISE (left-rotating motion DOWNWARD), and a DOWNWARD-POINTING arrow next to the dial confirming the down direction, with a natural-skin-tone hand fingers gripping the knob, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-pocket,in_,In pocket,natural,"A close-up view of the chest area of a button-down collared shirt showing a clearly visible BREAST POCKET (chest pocket on the upper-left chest area of the shirt at heart-level), with a small pen partially visible peeking out the top of the breast pocket, the chest pocket is rectangular and clearly placed on the upper chest of the shirt","A close-up view of the chest area of a button-down collared shirt showing a clearly visible BREAST POCKET (chest pocket on the upper-left chest area of the shirt at heart-level), with a small pen partially visible peeking out the top of the breast pocket, the chest pocket is rectangular and clearly placed on the upper chest of the shirt, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_come-off,off_,Come off,natural,"A round button on a shirt clearly DETACHED and dangling from a single thin thread, the button is hanging in mid-air no longer flat against the shirt, indicating the button has come off, close-up of the shirt with the loose dangling button","A round button on a shirt clearly DETACHED and dangling from a single thin thread, the button is hanging in mid-air no longer flat against the shirt, indicating the button has come off, close-up of the shirt with the loose dangling button, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_drop-off,off_,Drop off,natural,"A natural-skin-tone hand at the TOP of the frame releasing a small bright red ball with green leaf (clearly an apple), the apple is falling DOWNWARD through the air in the middle of the frame heading toward the bottom of the frame, NO motion lines anywhere, just the falling apple","A natural-skin-tone hand at the TOP of the frame releasing a small bright red ball with green leaf (clearly an apple), the apple is falling DOWNWARD through the air in the middle of the frame heading toward the bottom of the frame, NO motion lines anywhere, just the falling apple, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_get-off,off_,Get off,natural,"A child clearly stepping DOWN OFF a low wooden box, the child is FACING the SAME direction as a clear DOWNWARD ARROW positioned beside them, both feet visible (one already on the floor and one still on the box), the arrow points DOWN where the child is going, side view","A child clearly stepping DOWN OFF a low wooden box, the child is FACING the SAME direction as a clear DOWNWARD ARROW positioned beside them, both feet visible (one already on the floor and one still on the box), the arrow points DOWN where the child is going, side view, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_log-off,off_,Log off,vibrant,"A computer monitor displaying a screen with a clear rectangular button labelled 'LOG OFF' with bold lettering visible, a hand with ONE single uniform natural beige skin tone (NO pink, purple, green, or unnatural highlights anywhere on the hand) is shown clicking the button with extended index finger","A computer monitor displaying a screen with a clear rectangular button labelled 'LOG OFF' with bold lettering visible, a hand with ONE single uniform natural beige skin tone (NO pink, purple, green, or unnatural highlights anywhere on the hand) is shown clicking the button with extended index finger, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_off-floor,off_,Off floor,natural,"A natural-skin-tone hand at the TOP of the frame holding a small bright red ball, with a LARGE SUBSTANTIAL VERTICAL GAP between the ball and the wooden floor below, the ball is clearly ELEVATED HIGH ABOVE the floor (gap is more than half the height of the frame), indicating the ball has been picked up well off the floor","A natural-skin-tone hand at the TOP of the frame holding a small bright red ball, with a LARGE SUBSTANTIAL VERTICAL GAP between the ball and the wooden floor below, the ball is clearly ELEVATED HIGH ABOVE the floor (gap is more than half the height of the frame), indicating the ball has been picked up well off the floor, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
off_take-off,off_,Take off,natural,"A child clearly pulling a yellow jumper UP and OFF, the jumper bunched up at the shoulders being lifted by both hands, the child's natural friendly face fully visible BELOW the jumper at chest level (NOT hidden by the jumper, NOT alien-looking), normal proportions and features, head and shoulders","A child clearly pulling a yellow jumper UP and OFF, the jumper bunched up at the shoulders being lifted by both hands, the child's natural friendly face fully visible BELOW the jumper at chest level (NOT hidden by the jumper, NOT alien-looking), normal proportions and features, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
