word_id,sub_grid,label,colour_fill,subject_description,full_prompt
want_eat,want,Eat,natural,"A child eating with a happy expression holding a spoon to their mouth, head and shoulders","A child eating with a happy expression holding a spoon to their mouth, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_drink,want,Drink,natural,"A child drinking from a cup with a straw, head and shoulders, content expression","A child drinking from a cup with a straw, head and shoulders, content expression, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_sleep,want,Sleep,natural,"A child sleeping peacefully in bed with eyes closed, side view, small Z above the head","A child sleeping peacefully in bed with eyes closed, side view, small Z above the head, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_play,want,Play,natural,"A child playing with colourful blocks or toys on the floor, full body, joyful expression","A child playing with colourful blocks or toys on the floor, full body, joyful expression, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_read,want,Read,natural,"A child holding an open book reading it, focused expression, head and shoulders","A child holding an open book reading it, focused expression, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_help,want,Help,natural,"A child with arm extended outward reaching for help with a slightly worried expression, head and shoulders","A child with arm extended outward reaching for help with a slightly worried expression, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_hug,want,Hug,natural,"Two children embracing in a warm hug, side view, both smiling","Two children embracing in a warm hug, side view, both smiling, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_wash,want,Wash,natural,"A child washing their hands at a sink with soap bubbles and running water visible, head and shoulders","A child washing their hands at a sink with soap bubbles and running water visible, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_sit,want,Sit,natural,"A child sitting upright in a simple wooden chair with feet on the floor, side view, full body","A child sitting upright in a simple wooden chair with feet on the floor, side view, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
want_stand,want,Stand,natural,"A child standing upright with arms relaxed at sides, neutral pose, full body, front view","A child standing upright with arms relaxed at sides, neutral pose, full body, front view, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
