word_id,sub_grid,label,colour_fill,subject_description,full_prompt
down_down-here,down_,Down here,vibrant,"A hand with natural beige skin tones (NOT purple, NOT bright red, NOT blue) pointing downward with index finger extended toward a specific spot just below the hand, isolated hand","A hand with natural beige skin tones (NOT purple, NOT bright red, NOT blue) pointing downward with index finger extended toward a specific spot just below the hand, isolated hand, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_down-hill,down_,Down hill,natural,"A child walking DOWN a steep hill, the hill descends diagonally from the TOP-LEFT of the frame to the BOTTOM-RIGHT, the child is positioned on the slope and clearly walking toward the lower end of the hill (toward bottom-right), body angled forward and downward following the slope, side view, full body","A child walking DOWN a steep hill, the hill descends diagonally from the TOP-LEFT of the frame to the BOTTOM-RIGHT, the child is positioned on the slope and clearly walking toward the lower end of the hill (toward bottom-right), body angled forward and downward following the slope, side view, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_down-low,down_,Down low,vibrant,"A simple cartoon house with a horizontal arrow pointing from the side toward the ground level / bottom of the house, indicating something is positioned 'down low' near the base, simple iconic representation","A simple cartoon house with a horizontal arrow pointing from the side toward the ground level / bottom of the house, indicating something is positioned 'down low' near the base, simple iconic representation, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_down-please,down_,Down please,natural,"A small child standing on a low wooden platform or chair with both arms reaching downward toward the floor below, asking to be put down, with a please gesture, side view, full body","A small child standing on a low wooden platform or chair with both arms reaching downward toward the floor below, asking to be put down, with a please gesture, side view, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_sit-down,down_,Sit down,natural,"A child clearly in the act of lowering themselves onto a wooden chair seat, both knees bent at 90 degrees, bottom about to touch the chair seat, hands resting on the chair arms for support, side view showing the downward sitting motion, full body","A child clearly in the act of lowering themselves onto a wooden chair seat, both knees bent at 90 degrees, bottom about to touch the chair seat, hands resting on the chair arms for support, side view showing the downward sitting motion, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_step-down,down_,Step down,natural,"A flight of two visible steps with one foot clearly stepping FROM the higher step DOWN onto the lower step, the foot mid-step descending, side view showing clear vertical step-height difference between the two steps","A flight of two visible steps with one foot clearly stepping FROM the higher step DOWN onto the lower step, the foot mid-step descending, side view showing clear vertical step-height difference between the two steps, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_turn-down,down_,Turn down,vibrant,"A circular volume knob with a small triangular indicator mark, the indicator pointing toward a LOW position on the dial, with a curved arrow showing the knob being rotated counter-clockwise (downward direction), and a hand fingers gripping the knob in turning motion","A circular volume knob with a small triangular indicator mark, the indicator pointing toward a LOW position on the dial, with a curved arrow showing the knob being rotated counter-clockwise (downward direction), and a hand fingers gripping the knob in turning motion, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
down_wind-down,down_,Wind down,natural,"A child sitting cross-legged on a cushion with eyes gently closed and hands resting on their knees in a relaxed meditation pose, peaceful expression indicating winding down and relaxing, side view","A child sitting cross-legged on a cushion with eyes gently closed and hands resting on their knees in a relaxed meditation pose, peaceful expression indicating winding down and relaxing, side view, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-kitchen,in_,In kitchen,natural,"A child standing in front of a kitchen counter with a stove and a kitchen sink clearly visible behind them, the kitchen elements are distinctly coloured and separate from the child (NOT blending together), the child is the visual focus with kitchen as background, head and shoulders","A child standing in front of a kitchen counter with a stove and a kitchen sink clearly visible behind them, the kitchen elements are distinctly coloured and separate from the child (NOT blending together), the child is the visual focus with kitchen as background, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
in_in-playground,in_,In playground,natural,"A child standing in front of a colourful playground slide, the slide clearly visible and recognizable as playground equipment, with a swing set in the background also visible, the playground equipment is unambiguous, full body","A child standing in front of a colourful playground slide, the slide clearly visible and recognizable as playground equipment, with a swing set in the background also visible, the playground equipment is unambiguous, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
