word_id,sub_grid,label,colour_fill,subject_description,full_prompt
go_downstairs,go,Downstairs,natural,"A side view of a child walking DOWN a staircase, the child is positioned at the TOP-LEFT of the frame and moving toward the BOTTOM-RIGHT, the staircase descends diagonally from top-left to bottom-right, the leading foot is on a LOWER step than the trailing foot, the child's body is angled DOWNWARD and head looking down at the steps below, this is clearly DESCENDING not ascending, full body","A side view of a child walking DOWN a staircase, the child is positioned at the TOP-LEFT of the frame and moving toward the BOTTOM-RIGHT, the staircase descends diagonally from top-left to bottom-right, the leading foot is on a LOWER step than the trailing foot, the child's body is angled DOWNWARD and head looking down at the steps below, this is clearly DESCENDING not ascending, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_jump,go,Jump,natural,"A child jumping straight up vertically with both feet clearly off the ground (with at least a large clear visible gap between the feet and the ground line below), arms relaxed at sides (NOT raised, NOT held out), motion lines streaming UPWARD from the legs and feet area (NOT around the hands or arms), the child is in a clear vertical leap pose, side view, full body","A child jumping straight up vertically with both feet clearly off the ground (with at least a large clear visible gap between the feet and the ground line below), arms relaxed at sides (NOT raised, NOT held out), motion lines streaming UPWARD from the legs and feet area (NOT around the hands or arms), the child is in a clear vertical leap pose, side view, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_need-help,stop,Need help,natural,"A worried child with both arms raised high above the head waving urgently for attention (like signaling for help on a beach), with a small SOS letters in a speech bubble floating above the head, natural skin tones, head and shoulders, anxious facial expression indicating needing assistance","A worried child with both arms raised high above the head waving urgently for attention (like signaling for help on a beach), with a small SOS letters in a speech bubble floating above the head, natural skin tones, head and shoulders, anxious facial expression indicating needing assistance, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_need-quiet,stop,Need quiet,natural,"A face viewed from the front with a single index finger held vertically and pressed firmly against closed lips in a clear SHUSH gesture, with a small 'shh' text in a speech bubble or three small soft wavy sound lines beside the head (NOT Zzz, NOT sleep symbol, NOT music notes), head and shoulders","A face viewed from the front with a single index finger held vertically and pressed firmly against closed lips in a clear SHUSH gesture, with a small 'shh' text in a speech bubble or three small soft wavy sound lines beside the head (NOT Zzz, NOT sleep symbol, NOT music notes), head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_stop-hitting,stop,Stop hitting,vibrant,"A composition with a red octagonal stop sign on the LEFT side of the frame and a raised fist on the RIGHT side, the two elements are positioned SIDE BY SIDE with a clear gap between them (NOT overlapping), the stop sign is clearly facing the fist, both elements fully visible","A composition with a red octagonal stop sign on the LEFT side of the frame and a raised fist on the RIGHT side, the two elements are positioned SIDE BY SIDE with a clear gap between them (NOT overlapping), the stop sign is clearly facing the fist, both elements fully visible, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_stop-music,stop,Stop music,vibrant,"A composition with a red octagonal stop sign on the LEFT side of the frame and a single solid dark blue musical note on the RIGHT side, the two elements are positioned SIDE BY SIDE with a clear gap between them (NOT overlapping), both elements fully visible, the stop sign clearly facing the music note","A composition with a red octagonal stop sign on the LEFT side of the frame and a single solid dark blue musical note on the RIGHT side, the two elements are positioned SIDE BY SIDE with a clear gap between them (NOT overlapping), both elements fully visible, the stop sign clearly facing the music note, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_too-close,stop,Too close,vibrant,"A scene with one child on the LEFT side holding out their hand palm-facing-out in a clear stop/halt gesture toward another child on the RIGHT side who is leaning slightly forward into the personal space, the hand gesture is the focal point, both children visible from head and shoulders, the message is clearly 'you are too close to my personal space, back away'","A scene with one child on the LEFT side holding out their hand palm-facing-out in a clear stop/halt gesture toward another child on the RIGHT side who is leaning slightly forward into the personal space, the hand gesture is the focal point, both children visible from head and shoulders, the message is clearly 'you are too close to my personal space, back away', children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_family,like,Family,natural,"A simple family group of two adults and two children of various ages standing together in a row, all smiling, head and shoulders only, diverse natural skin tones, NO speech bubbles, NO frames, NO white squares or borders around the figures, just the people clearly visible","A simple family group of two adults and two children of various ages standing together in a row, all smiling, head and shoulders only, diverse natural skin tones, NO speech bubbles, NO frames, NO white squares or borders around the figures, just the people clearly visible, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_ipad,like,iPad,vibrant,"A simple flat tablet device (iPad) viewed straight on from the front, rectangular shape with rounded corners, grey/silver frame around the screen, a single circular home button at the bottom centre, the screen shows a soft blue background with a clean 3x3 grid of small colourful app icons (not chaotic, well-organized), immediately recognizable as a tablet","A simple flat tablet device (iPad) viewed straight on from the front, rectangular shape with rounded corners, grey/silver frame around the screen, a single circular home button at the bottom centre, the screen shows a soft blue background with a clean 3x3 grid of small colourful app icons (not chaotic, well-organized), immediately recognizable as a tablet, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_laughing,like,Laughing,natural,"A face-only emotion symbol with a big wide open smile showing teeth and squinting closed eyes expressing joyful laughter, with a small 'ha ha ha' text floating in a speech bubble beside the head, natural friendly face matching the consistent character style, no body visible","A face-only emotion symbol with a big wide open smile showing teeth and squinting closed eyes expressing joyful laughter, with a small 'ha ha ha' text floating in a speech bubble beside the head, natural friendly face matching the consistent character style, no body visible, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_lego,like,Lego,vibrant,"A stack of classic Lego bricks in primary colours only (red, yellow, blue, and green — no purple, pink, or other colours) assembled together in a simple geometric structure, classic Lego style with visible round studs on top of each brick, immediately recognizable as Lego","A stack of classic Lego bricks in primary colours only (red, yellow, blue, and green — no purple, pink, or other colours) assembled together in a simple geometric structure, classic Lego style with visible round studs on top of each brick, immediately recognizable as Lego, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_sports,like,Sports,vibrant,"A simple golden sports trophy on a stand with a soccer ball beside it on the ground, both elements clearly visible, NO stars, NO decorative elements, NO sparkles, just the trophy and ball","A simple golden sports trophy on a stand with a soccer ball beside it on the ground, both elements clearly visible, NO stars, NO decorative elements, NO sparkles, just the trophy and ball, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_swimming,like,Swimming,natural,"A child swimming in water viewed from the side, the head is above the water level breathing, one arm is reaching FORWARD in a clear and unambiguous freestyle swimming stroke, the body is in a horizontal swimming position with legs trailing behind partially submerged, water visible around the body with small wave lines on the surface, the swimming action is clear","A child swimming in water viewed from the side, the head is above the water level breathing, one arm is reaching FORWARD in a clear and unambiguous freestyle swimming stroke, the body is in a horizontal swimming position with legs trailing behind partially submerged, water visible around the body with small wave lines on the surface, the swimming action is clear, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
like_tv,like,TV,vibrant,"A classic flat-screen TV viewed straight on from the front, simple black rectangular frame, a colourful simple cartoon image displayed on the screen, with a clear stand or base below the TV, immediately recognizable as a television, sharp clean rectangular shape (NOT overly rounded)","A classic flat-screen TV viewed straight on from the front, simple black rectangular frame, a colourful simple cartoon image displayed on the screen, with a clear stand or base below the TV, immediately recognizable as a television, sharp clean rectangular shape (NOT overly rounded), children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
