word_id,sub_grid,label,colour_fill,subject_description,full_prompt
good_good-morning,good,Good morning,vibrant,"A rising sun on a horizon with warm orange and yellow rays radiating outward, with a friendly smiling child waving hello in the foreground, indicating the morning greeting","A rising sun on a horizon with warm orange and yellow rays radiating outward, with a friendly smiling child waving hello in the foreground, indicating the morning greeting, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-day,good,Good day,vibrant,"A bright sunny sky with a yellow sun shining and white fluffy clouds, with a friendly smiling child waving in the foreground, indicating having or wishing a good day","A bright sunny sky with a yellow sun shining and white fluffy clouds, with a friendly smiling child waving in the foreground, indicating having or wishing a good day, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-job,good,Good job,vibrant,"A smiling child giving a thumbs-up gesture with one hand raised, with a small gold star floating above their head, the child is happily celebrating accomplishment, head and shoulders","A smiling child giving a thumbs-up gesture with one hand raised, with a small gold star floating above their head, the child is happily celebrating accomplishment, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-work,good,Good work,vibrant,"A smiling child holding up a completed worksheet/paper proudly with a green tick mark visible on the paper, with a gold star above their head, indicating praise for completed work, head and shoulders","A smiling child holding up a completed worksheet/paper proudly with a green tick mark visible on the paper, with a gold star above their head, indicating praise for completed work, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-try,good,Good try,vibrant,"A determined child with both fists raised in front of them in an effort pose, with a small gold star above their head, friendly encouraging expression indicating effort and persistence, head and shoulders","A determined child with both fists raised in front of them in an effort pose, with a small gold star above their head, friendly encouraging expression indicating effort and persistence, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-idea,good,Good idea,vibrant,"A smiling child with a bright yellow lightbulb illuminated above their head with rays of light radiating outward, an expression of bright realization on their face, head and shoulders","A smiling child with a bright yellow lightbulb illuminated above their head with rays of light radiating outward, an expression of bright realization on their face, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-news,good,Good news,vibrant,"A smiling child holding up a folded letter or newspaper with a small happy face icon on it, with an excited joyful expression, head and shoulders, indicating receiving good news","A smiling child holding up a folded letter or newspaper with a small happy face icon on it, with an excited joyful expression, head and shoulders, indicating receiving good news, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-times,good,Good times,vibrant,"A group of three smiling children playing together happily with their arms around each other in a cheerful celebration pose, head and shoulders, indicating good fun times","A group of three smiling children playing together happily with their arms around each other in a cheerful celebration pose, head and shoulders, indicating good fun times, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-sitting,good,Good sitting,natural,"A child sitting nicely upright in a wooden chair with straight posture, hands folded neatly in their lap, smiling, with a small gold star or green checkmark floating beside them indicating praise for good sitting behaviour, side view, full body","A child sitting nicely upright in a wooden chair with straight posture, hands folded neatly in their lap, smiling, with a small gold star or green checkmark floating beside them indicating praise for good sitting behaviour, side view, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
good_good-listening,good,Good listening,natural,"A child with one hand cupped behind their ear in an attentive listening pose, with curving sound wave lines arriving toward the ear and a small gold star or green checkmark floating beside the head, indicating praise for good listening, head and shoulders","A child with one hand cupped behind their ear in an attentive listening pose, with curving sound wave lines arriving toward the ear and a small gold star or green checkmark floating beside the head, indicating praise for good listening, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
