word_id,sub_grid,label,colour_fill,subject_description,full_prompt
people_family_brother,people_family,Brother,natural,"A young school-aged boy with a friendly smile, short hair, casual t-shirt, head and shoulders, indicating a brother","A young school-aged boy with a friendly smile, short hair, casual t-shirt, head and shoulders, indicating a brother, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_sister,people_family,Sister,natural,"A young school-aged girl with a friendly smile, shoulder-length hair, casual top, head and shoulders, indicating a sister","A young school-aged girl with a friendly smile, shoulder-length hair, casual top, head and shoulders, indicating a sister, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_baby,people_family,Baby,natural,"A smiling infant baby with round cheeks, sparse hair, wearing a onesie, head and shoulders, friendly and adorable","A smiling infant baby with round cheeks, sparse hair, wearing a onesie, head and shoulders, friendly and adorable, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_grandma,people_family,Grandma,natural,"A friendly elderly woman with grey hair pulled back, kind smile, wearing a warm cardigan, head and shoulders, indicating a grandmother","A friendly elderly woman with grey hair pulled back, kind smile, wearing a warm cardigan, head and shoulders, indicating a grandmother, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_grandpa,people_family,Grandpa,natural,"A friendly elderly man with grey hair and a kind smile, wearing a button-up shirt or sweater vest, head and shoulders, indicating a grandfather","A friendly elderly man with grey hair and a kind smile, wearing a button-up shirt or sweater vest, head and shoulders, indicating a grandfather, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_aunty,people_family,Aunty,natural,"A friendly adult woman with curly hair and a warm smile, motherly appearance, wearing casual blouse, head and shoulders, indicating an aunt","A friendly adult woman with curly hair and a warm smile, motherly appearance, wearing casual blouse, head and shoulders, indicating an aunt, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_uncle,people_family,Uncle,natural,"A friendly adult man with short hair and a slight beard, warm smile, wearing a polo shirt, head and shoulders, indicating an uncle","A friendly adult man with short hair and a slight beard, warm smile, wearing a polo shirt, head and shoulders, indicating an uncle, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_cousin,people_family,Cousin,natural,"A school-aged child with a friendly smile, average appearance, wearing casual clothing, head and shoulders, gender-neutral, indicating a cousin","A school-aged child with a friendly smile, average appearance, wearing casual clothing, head and shoulders, gender-neutral, indicating a cousin, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_stepmum,people_family,Stepmum,natural,"A friendly adult woman with shoulder-length hair, kind smile, wearing a striped blouse (distinct styling from Mum), head and shoulders, indicating a stepmother","A friendly adult woman with shoulder-length hair, kind smile, wearing a striped blouse (distinct styling from Mum), head and shoulders, indicating a stepmother, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
people_family_stepdad,people_family,Stepdad,natural,"A friendly adult man with short hair and glasses, kind smile, wearing a button-up shirt (distinct styling from Dad), head and shoulders, indicating a stepfather","A friendly adult man with short hair and glasses, kind smile, wearing a button-up shirt (distinct styling from Dad), head and shoulders, indicating a stepfather, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid unnatural colours like bright red, purple, blue, or green on human skin), no medication or pills, style similar to PCS HD educational picture symbols."
